slug,title,tags,credits,credits-2nd,description,content,gallery
transfer-shore-airport,Transfer Shore - Airport,"featured, transfer, airport, shore-excursion",,,"From/To Civitavecchia Pier, FCO or CIA Airports","Our fluent English speaking driver will meet you at your Cruise Ship or Airport. We will help you with your baggage and get you and your party to your destination in Rome, Florence, Livorno, Naples or other cities without being hassled or having to wait in line for taxi services.

We can transfer you all over Italy, also with interesting alternative itineraries. We offer a chauffeured limousine service that our fluent English speaking drivers provide with absolute professionalism.",
best-of-rome-highlights,Best of Rome Highlights,"rome, vatican, half-day, full-day featured",,,Visiting Rome for just one day? Get the best out of your stay!,"Our best half-day tour of Rome includes a transfer from/to the Airport or the Pier and a 3 hours tour of major Rome highlights, either tailored to your preferences, or you can go with our standard highlights that will take you through Piazza di Spagna, Piazza del Popolo, Trevi Fountain, Capitol Hill, a breathtaking overview of the Roman Forum, Aventino Hill, and a sightseeing drive around the Coliseum!

Just let Nick know what your needs and interests are, and he’ll make sure that you’ll remember forever your experience in his wonderful country: he’ll make sure that you’ll have an unforgettable once in a lifetime experience.",
transfers-all-over-italy,Transfers All Over Italy,"featured, transfer, airport, shore-excursion",,,"We can pick you up and take you to your destination in Rome, Florence, Livorno, Naples or anywhere in the country!","Our fluent English speaking driver will meet you at your Cruise Ship, Hotel or Airport. We will help you with your baggage and get you and your party to your destination in Rome, Florence, Livorno, Naples or other cities without being hassled or having to wait in line for taxi services.

We can transfer you all over Italy, also with interesting alternative itineraries. We offer a chauffeured limousine service that our fluent English speaking drivers provide with absolute professionalism.",
airport-transfers,Fiumicino and Ciampino Rome Airport Transfers,"airport, transfer",,,"Get you and your party to your destination in Rome, Florence, Livorno, Naples or other cities without being hassled or having to wait in line for taxi services.","Transfers from and to Fiumicino and Ciampino Rome Airports.

Our fluent English speaking driver will meet you at your gate exit. We will help you with your baggage and get you and your party to your destination in Rome, Florence, Livorno, Naples or other cities without being hassled or having to wait in line for taxi services.

We can transfer you all over Italy, also with interesting alternative itineraries. We offer a chauffeured limousine service that our fluent English speaking drivers provide with absolute professionalism.",
vatican-tour,The Vatican Private Guided Tour,"rome, vatican, half-day, shore-excursion",,,"A 4-hour car and driving tour with certified guide to the discovery of art, history and religion of the smallest state in the world.","A 4-hour car and driving tour with certified guide to the discovery of art, history and religion of the smallest state in the world.

Pieta MichelangeloNo visit of Rome would be complete without a visit to the foremost church of all Christendom, to the Sistine Chapel, and to the outstanding museums of the Vatican City. The St. Peter’s Basilica, the largest Catholic church on earth, with Michelangelo’s Pietà , the bronze baldachin by Bernini and the many funerary monuments of the Popes, is a giant museum itself. The Vatican Museums built up over the centuries through the artistic, dynastic, and religious ambitions of the popes, have now grown into a museum complex of unrivalled scope and importance.
piazza_san_pietroThe supreme examples of Italian High Renaissance painting, the Sistine Chapel is a major attraction for every visitor to Rome.

The tour includes car pick up from the hotel, sightseeing on the way to the Vatican, walking – with an authorized tour guide – in the Vatican Museums, Raphael’s Rooms, Sistine Chapel and St. Peter’s Basilica, sightseeing on the way back to the hotel. No waiting in line for tickets!

The tour is for individuals as well as for small groups, and it includes private guide and private car transfers.

While planning the visit to the Vatican please bear in mind that on Sundays Vatican Museums are closed and that entrance in to churches requires appropriate attire (no shorts, miniskirts or uncovered shoulders).",
pope-audience,Pope Francis' Audience and Blessing,"rome, vatican, half-day, shore-excursion","Pope Francis
Wikimedia by Alfredo Borba",,Includes reservation of seats for the audience!,"When the Pope is present in the Vatican City he holds a Papal Audience on Wednesdays and a Public Blessing on Sundays.
During Wednesday’s Papal Audience, the Pope gives Mass in five languages, and is often seen travelling in his infamous “Pope Mobile”.

During Sunday’s appearance, the Pope graces the crowd from his balcony, a scene many around the world are familiar with.
This service includes pick up and drop off, as well as the reservation of seats for the audience. It is important to note that proper attire must be worn in the Vatican; shoulders and knees must be covered.

Also note that both the Papal Audience and Blessing are subject to time changes.

Duration: 4 hours",
rome-by-night,Best of Rome By Night,"rome, half-day, shore-excursion","Rome by night Castel santangelo
Wikimedia by NormanB","Rome By Night
Wikimedia by Andreas Tille",This excursion is designed to enjoy the highlights of Rome and its Monuments after the sun has set.,"This night excursion is designed for those who wish to enjoy the highlights of Rome and its monuments after the sun has set.

Your tour will begin with an ascent up the Janiculum hill after you have met your English speaking driver. Here you will observe the Old City of Trastevere from Rome’s highest viewpoint. You will continue on to explore the Old City before you set off towards the vicinity of the Ancient Forum and Coliseum. Here you will see Rome’s architectural masterpieces dramatically illuminated under bright lights and away from the day’s bustling crowds. Your tour will conclude with a visit to Piazza Navona and the Trevi Fountain. The driver will then escort you back to your hotel.

All rates are quoted in the Euro and are only payable in the Euro currency, including Traveler’s Cheques, at the end of the services.
Rates include the use of our luxury vehicles, English speaking driver to and from your hotel in Rome.
Lunch, gratuities, or entrance fees to the sites are not included.

Duration: 3 hours",
ancient-rome,The Ancient Rome Tour,"rome, full-day, shore-excursion","Foro Romano
Wikimedia by Stefan Bauer",,Explore thousands of years of Roman history as you pass the city’s ancient landmarks.,"Explore thousands of years of Roman history as you pass the city’s ancient landmarks.

Visit Capitol Square for incredible views over the Roman Forum, the city’s major archaeological site.

Take in the majesty of the Coliseum the very symbol of Roman grandeur.
A 4-hour car and driving tour with walking guide through the main archaeological sites of the Eternal City rich of historical memories that have long been symbols of the glory and splendor of ancient Rome.

This tour, which runs through many of the most famous monumental and archaeological areas of the city – and on earth – as the Palatine Hill, the Roman Forum, and the Colosseum, will allow you to imagine the grandeur and ancient splendor of the buildings of Rome and to form a clear idea of the daily life, religious beliefs and of the role of gladiatorial spectacles in ancient Rome.
The tour includes car pick up from the hotel, walking – with an authorized tour guide – in the Palatine Hill, Roman Forum, and Colosseum, sightseeing on the way back to the hotel.

The tour is for individuals as well as for small groups; and it includes private guide, private car transfers and archaeological site tickets.

We suggest you to wear comfortable clothes and shoes, and in the summer months to wear sunglasses and sunhats.",
catacombs,Rome's Catacombs Tour,"rome, vatican, shore-excursion, latium, full-day","Catacombe di Sam Callisto
Wikimedia by User GerardM on nl",,"Our authorised private guide will lead you through these underground tunnels, rich in early Christian symbolism.","Eighteen-hundred years ago, no one was allowed to be buried within the walls of Rome. While pagan Romans were into cremation, Christians preferred to be buried. But land was expensive and most Christians were poor. A few wealthy landowning Christians allowed their land to be used as burial places. These became the Catacombs.

The 40 or so known catacombs circle Rome about three miles from the center
From the first through the fifth centuries, Christians dug an estimated 360 miles of tomb-lined tunnels with networks of galleries as much as five layers deep. The Christians burrowed many layers deep for two reasons: to get more mileage out of the donated land and to be near martyrs and saints already buried there. The tufa — soft and easy to cut but becoming very hard when exposed to air — is perfect for the job. Bodies were wrapped in linen (like Christ was). Since they figured the Second Coming was imminent, there was no interest in embalming the body.

When Emperor Constantine became a Christian in 312, Christians had a new, interesting problem. There would be no more persecuted martyrs to bind them and inspire them. Thus the early martyrs and popes assumed more importance, and Christians began making pilgrimages to their burial places in the Catacombs.

Finding plates and utensils from ritual meals in the candlelit galleries led romantics to guess that persecuted Christians hid out and lived in these catacombs. This romantic legend grew. But Catacombs were not used for hiding out. They are simply early Christian burial grounds.

With a million people in Rome, the easiest way for the 10,000 or so early Christians to hide out was not to camp in the Catacombs (which everyone, including the government, knew about), but to melt into the city.
The underground tunnels, while empty of bones, are rich in early Christian symbolism which functioned as a secret language.
The catacombs have a Web site focusing mainly on San Callisto, featuring photos, site info, and a history.

The tour is for individuals as well as for small groups; it includes authorised private guide and private car transfers.",
rome-castles,Castles of Rome Tour,"latium, full-day, shore-excursion",,,Full-day driving tour with walking guide on request in the natural and artistic beauty of the small medieval villages outside Rome.,"A 7-hour car and driving tour with walking guide on request in the natural and artistic beauty of the small medieval villages outside Rome.

The small region of the Colli Albani, with a vast historical and cultural heritage, is well known for its splendid landescape with its volcanic lakes and charming hills covered with olive groves, vineyards and woods. The towns of this region are historically connected with Rome, it is from here that the legendary founders of the city left in the 8th c. BC, as it is in this region that the Roman aristocracy, after the conquest of the area in the 4th c. BC, built luxurious villas in the republican and imperial ages. In medieval time the towns were endowed with castels, monasteries and defensive walls, to become again meta of vacation from the renaissance time when famous architects and artists built wonderful country residencies.

The tour includes car pick up from the hotel, transfers to Castelgandolfo, Aricca, Rocca di Papa, Grottaferrata, typical restaurant (meals not included in the price), Frascati, and back to hotel.

The tour is for individuals as well as for small groups; and it includes private guide, private car transfers and site tickets.",
